Section,Country,Period,Stage,Substage,Mg,Reference,
Zuodeng section,China,Triassic,,Smithian,-0.22,"Chen et al., 2020",
Zuodeng section,China,Triassic,,Smithian,-0.37,"Chen et al., 2020",
Zuodeng section,China,Triassic,,Smithian,-0.74,"Chen et al., 2020",
Zuodeng section,China,Triassic,,Smithian,-0.36,"Chen et al., 2020",
Zuodeng section,China,Triassic,Induan,Dienerian,-2.3,"Chen et al., 2020",
Zuodeng section,China,Triassic,,Dienerian,-0.03,"Chen et al., 2020",
Zuodeng section,China,Triassic,,Dienerian,0.33,"Chen et al., 2020",
Zuodeng section,China,Triassic,,Dienerian,-1.15,"Chen et al., 2020",
Zuodeng section,China,Triassic,,Dienerian,-0.95,"Chen et al., 2020",
Zuodeng section,China,Triassic,,Griesbachian,-1.47,"Chen et al., 2020",
Zuodeng section,China,Permian,Changhsingian,,-1.54,"Chen et al., 2020",
,,Modern,,,-0.83,,"Shalev et al., 2019"
