Location,Sample No.,Series,Stage,Age (Ma),"Biozones (conodonts, ammonoids, brachiopods)","Biozones (conodonts, ammonoids, brachiopods)",Sr,Reference
Baldwin Creek / Wyoming,BC-1,Middle Permian,Kung,264.5,conodonts,N. sulcopilcatus-M. idahoensis,0.70734,Marting and Madcougall (1995)
Baldwin Creek / Wyoming,BC-2,Middle Permian,Kung,264.3,conodonts,N. sulcopilcatus-M. idahoensis,0.707404,Marting and Madcougall (1995)
Baldwin Creek / Wyoming,BC-3,Middle Permian,Kung,264.1,conodonts,N. sulcopilcatus-M. idahoensis,0.707373,Marting and Madcougall (1995)
Baldwin Creek / Wyoming,BC-4+5,Middle Permian,Kaz/Uf,262.25,conodonts,N.newelli-M.gujoensis and M. bitteri,0.707133,Marting and Madcougall (1995)
Baldwin Creek / Wyoming,BC-6,Middle Permian,Kaz,260.75,conodonts,M. bitteri,0.707208,Marting and Madcougall (1995)
Baldwin Creek / Wyoming,BC-7,Middle Permian,Kaz,260,conodonts,M. bitteri,0.7071,Marting and Madcougall (1995)
Baldwin Creek / Wyoming,BC-8,Late Permian ,Kaz,259.25,conodonts,Me. Divergens,0.707091,Marting and Madcougall (1995)
Baldwin Creek / Wyoming,BC-9,Late Permian ,Kaz,258.6,conodonts,Me. Divergens,0.707063,Marting and Madcougall (1995)
Crittenden Springs / Nevada,CS-1,Early Triassic,Gries,250,conodonts,I. isarciaca,0.707657,Marting and Madcougall (1995)
Crittenden Springs / Nevada,CS-2,Early Triassic,Smith,248.5,conodonts,N. milleri,0.707885,Marting and Madcougall (1995)
Crittenden Springs / Nevada,CS-3,Early Triassic,Smith,248.4,conodonts,Ne. waageni,0.707867,Marting and Madcougall (1995)
Crittenden Springs / Nevada,CS-4,Early Triassic,Smith,248.25,conodonts,Ne. waageni,0.70794,Marting and Madcougall (1995)
"Saidu Wali, Hkisor Range",SA-1 +2,Middle Permian,Kaz,260.75,conodonts,M. phosphoriensis/ M. bitteri,0.707211,Marting and Madcougall (1995)
"Saidu Wali, Hkisor Range",SA-3 + 4,Middle Permian,Kaz,259.3,conodonts,Me. Divergens,0.707388,Marting and Madcougall (1995)
"Saidu Wali, Hkisor Range",SA-5+6,Middle Permian,Kaz,258.75,conodonts,Me. Divergens,0.707117,Marting and Madcougall (1995)
"Koria Lodlian , Khisor Range",KL-1,Middle Permian,Kaz,260.75,conodonts,Me. Divergens,0.70719,Marting and Madcougall (1995)
"Koria Lodlian , Khisor Range",KL-2+3,Middle Permian,Cap,257.25,conodonts,Me. Divergens,0.707168,Marting and Madcougall (1995)
"Koria Lodlian , Khisor Range",KL-4+5,Late Permian ,Wuch,255.7,conodonts,M. leveni,0.707201,Marting and Madcougall (1995)
"Koria Lodlian , Khisor Range",KL-6,Late Permian ,Wuch,255.25,conodonts,M. leveni,0.7071,Marting and Madcougall (1995)
"Koria Lodlian , Khisor Range",KL-7,Late Permian ,Wuch,254.8,conodonts,M. leveni,0.707102,Marting and Madcougall (1995)
"Koria Lodlian , Khisor Range",KL-8,Late Permian ,Wuch,254.6,conodonts,M. leveni,0.707117,Marting and Madcougall (1995)
"Koria Lodlian , Khisor Range",KL-9,Late Permian ,Wuch,254.1,conodonts,M. guanyuanesis,0.707186,Marting and Madcougall (1995)
"Koria Lodlian , Khisor Range",KL-10,Late Permian ,Wuch,253.75,conodonts,M. orientalis,0.70724,Marting and Madcougall (1995)
"Chhidru Nala, Salt Range",CD-I +2,Late Permian ,Kaz/Cap,258.6,conodonts,Me. Divergens,0.70713,Marting and Madcougall (1995)
"Chhidru Nala, Salt Range",CD-3,Late Permian ,Wuch,254.3,conodonts,M. orientalis,0.707399,Marting and Madcougall (1995)
"Chhidru Nala, Salt Range",CD-4,Late Permian ,Chang,253.4,conodonts,M. subcarinata,0.70769,Marting and Madcougall (1995)
"Chhidru Nala, Salt Range",CD-5,Late Permian ,Chang,252.7,conodonts,M. subcarinata,0.707322,Marting and Madcougall (1995)
"Chhidru Nala, Salt Range",CD-6,Early Triassic,Chang,251.8,conodonts,M. carinata,0.707427,Marting and Madcougall (1995)
"Chhidru Nala, Salt Range",CD-7,Early Triassic,Dien,249,conodonts,Ne. parkistanensis,0.707736,Marting and Madcougall (1995)
"Kathwai, Salt Range",KA-I,Late Permian ,Chang,252.3,conodonts,M. subcarinata,0.707499,Marting and Madcougall (1995)
"Kathwai, Salt Range",KA-2,Late Permian ,Chang,252.2,conodonts,M. subcarinata,0.707568,Marting and Madcougall (1995)
"Kathwai, Salt Range",KA-3,Late Permian ,Chang,252,conodonts,M. carinata,0.707458,Marting and Madcougall (1995)
"Kathwai, Salt Range",KA-4,Early Triassic,Chang,251.8,conodonts,M. carinata,0.707587,Marting and Madcougall (1995)
"Kathwai, Salt Range",KA-5,Early Triassic,Chang,251.7,conodonts,M. carinata,0.707469,Marting and Madcougall (1995)
"Chatuwala Nala, Salt Range",CW-I,Early Triassic,Chang,251.8,conodonts,M. subcarinata,0.70744,Marting and Madcougall (1995)
"Chatuwala Nala, Salt Range",CW-2,Early Triassic,Chang,251.6,conodonts,M. carinata,0.707503,Marting and Madcougall (1995)
"Chatuwala Nala, Salt Range",CW-3.,Early Triassic,Gries,250.75,conodonts,H. parvus,0.707308,Marting and Madcougall (1995)
"Chatuwala Nala, Salt Range",CW-4,Early Triassic,Gries,249.75,conodonts,I. isarciaca,0.707626,Marting and Madcougall (1995)
"Nammal Nalaá, Salt Range",NN-1,Early Triassic,Gries,249.75,conodonts,I. isarciaca,0.707856,Marting and Madcougall (1995)
"Nammal Nalaá, Salt Range",NN-2,Early Triassic,Dien,249.4,conodonts,Ne. cristagalli,0.707895,Marting and Madcougall (1995)
"Nammal Nalaá, Salt Range",NN-3,Early Triassic,Dien,249.25,conodonts,Ne. cristagalli,0.708197,Marting and Madcougall (1995)
"Nammal Nalaá, Salt Range",NN-5,Early Triassic,Dien,248.75,conodonts,Ne. parkistanensis,0.708178,Marting and Madcougall (1995)
"Nammal Nalaá, Salt Range",NN-6,Early Triassic,Dien,248.6,conodonts,Ne. parkistanensis,0.708377,Marting and Madcougall (1995)
"Nammal Nalaá, Salt Range",NN-7,Early Triassic,Smith,248.35,conodonts,N. milleri,0.708203,Marting and Madcougall (1995)
