Location,Sample No.,Series,Stage,Age (Ma),"Biozones (conodonts, ammonoids, brachiopods)","Biozones (conodonts, ammonoids, brachiopods)",Sr,Reference
Qingyan,Qingyan-19 ,Early Triassic,Spathian,250.38,,Triassospathodus homeri ,0.7083,Song et al. (2015)
Guandao,GuandaoI-19 ,Early Triassic,Smithian,250.45,,Icriospathodus crassatus ,0.70782,Song et al. (2015)
Guandao,GuandaoI-18 ,Early Triassic,Smithian,250.5,,Icriospathodus crassatus ,0.70785,Song et al. (2015)
Guandao,GuandaoI-17 ,Early Triassic,Smithian,250.55,,Icriospathodus crassatus ,0.708,Song et al. (2015)
Guandao,GuandaoI-16 ,Early Triassic,Smithian,250.6,,Neospathodus waageni ,0.70788,Song et al. (2015)
Qingyan,Qingyan-16 ,Early Triassic,Smithian,250.65,,Neospathodus waageni ,0.70791,Song et al. (2015)
Qingyan,Qingyan-15 ,Early Triassic,Smithian,250.75,,Neospathodus waageni ,0.70796,Song et al. (2015)
Guandao,GuandaoI-14 ,Early Triassic,Smithian,250.76,,Neospathodus waageni ,0.70795,Song et al. (2015)
Guandao,GuandaoI-13 ,Early Triassic,Smithian,250.81,,Neospathodus waageni ,0.70791,Song et al. (2015)
Qingyan,Qingyan-14 ,Early Triassic,Smithian,250.85,,Neospathodus waageni ,0.70794,Song et al. (2015)
Guandao,GuandaoI-12 ,Early Triassic,Smithian,250.86,,Neospathodus waageni ,0.70818,Song et al. (2015)
Guandao,GuandaoI-11 ,Early Triassic,Smithian,250.91,,Neospathodus waageni ,0.70785,Song et al. (2015)
Qingyan,Qingyan-13 ,Early Triassic,Smithian,250.95,,Neospathodus waageni ,0.7077,Song et al. (2015)
Guandao,GuandaoI-9 ,Early Triassic,Smithian,251,,Neospathodus waageni ,0.70783,Song et al. (2015)
Guandao,GuandaoI-8 ,Early Triassic,Smithian,251.05,,Neospathodus waageni ,0.70774,Song et al. (2015)
 Qingyan ,Qingyan-11 ,Early Triassic,Smithian,251.15,,Neospathodus waageni ,0.70792,Song et al. (2015)
Guandao,GuandaoI-6 ,Early Triassic,Dienerian,251.25,,Neospathodus cristagalli ,0.70779,Song et al. (2015)
Qingyan,Qingyan-9 ,Early Triassic,Dienerian,251.26,,Neospathodus cristagalli ,0.70802,Song et al. (2015)
Qingyan,Qingyan-7 ,Early Triassic,Dienerian,251.44,,Neospathodus cristagalli ,0.70763,Song et al. (2015)
Qingyan,Qingyan-6 ,Early Triassic,Dienerian,251.53,,Neospathodus dieneri ,0.70771,Song et al. (2015)
Guandao,GuandaoI-5 ,Early Triassic,Dienerian,251.6,,Neospathodus dieneri ,0.70779,Song et al. (2015)
Qingyan,Qingyan-5 ,Early Triassic,Dienerian,251.62,,Neospathodus dieneri ,0.7075,Song et al. (2015)
Meishan ,Meishan-37 ,Early Triassic,Griesbachian ,252.05,,Isarcicella isarcica ,0.7075,Song et al. (2015)
Meishan ,Meishan-36,Early Triassic,Griesbachian ,252.1,,Isarcicella isarcica ,0.7075,Song et al. (2015)
Meishan ,Meishan-35,Early Triassic,Griesbachian ,252.13,,Hindeodus parvus ,0.70709,Song et al. (2015)
Meishan ,Meishan-34,Early Triassic,Griesbachian ,252.17,,Hindeodus parvus ,0.70709,Song et al. (2015)
Guandao,GuandaoI-2 ,Early Triassic,Griesbachian ,252.2,,Hindeodus parvus ,0.70735,Song et al. (2015)
Meishan ,Meishan-33,Late Permian ,Changhsingian ,252.22,,Hindeodus changxingensis ,0.70741,Song et al. (2015)
Meishan ,Meishan-32,Late Permian ,Changhsingian ,252.26,,Hindeodus changxingensis ,0.70751,Song et al. (2015)
Meishan ,Meishan-30,Late Permian ,Changhsingian ,252.3,,Clarkina yini ,0.70716,Song et al. (2015)
Meishan ,Meishan-31,Late Permian ,Changhsingian ,252.3,,Clarkina yini ,0.70681,Song et al. (2015)
Meishan ,Meishan-27,Late Permian ,Changhsingian ,252.34,,Clarkina yini ,0.70717,Song et al. (2015)
Meishan ,Meishan-28,Late Permian ,Changhsingian ,252.36,,Clarkina yini ,0.70709,Song et al. (2015)
Meishan ,Meishan-26,Late Permian ,Changhsingian ,252.4,,Clarkina yini ,0.70717,Song et al. (2015)
Meishan ,Meishan-23,Late Permian ,Changhsingian ,252.42,,Clarkina yini ,0.70711,Song et al. (2015)
Meishan ,Meishan-24,Late Permian ,Changhsingian ,252.44,,Clarkina yini ,0.70716,Song et al. (2015)
Meishan ,Meishan-25,Late Permian ,Changhsingian ,252.46,,Clarkina yini ,0.70707,Song et al. (2015)
Meishan ,Meishan-22,Late Permian ,Changhsingian ,252.48,,Clarkina yini ,0.70713,Song et al. (2015)
Meishan ,Meishan-21,Late Permian ,Changhsingian ,252.66,,Clarkina changxingensis ,0.70713,Song et al. (2015)
Meishan ,Meishan-20,Late Permian ,Changhsingian ,252.73,,Clarkina changxingensis ,0.70706,Song et al. (2015)
Meishan ,Meishan-19,Late Permian ,Changhsingian ,252.8,,Clarkina changxingensis ,0.70709,Song et al. (2015)
Meishan ,Meishan-18,Late Permian ,Changhsingian ,252.87,,Clarkina changxingensis ,0.70694,Song et al. (2015)
Meishan ,Meishan-17,Late Permian ,Changhsingian ,252.94,,Clarkina changxingensis ,0.70711,Song et al. (2015)
Meishan ,Meishan-16,Late Permian ,Changhsingian ,253.01,,Clarkina changxingensis ,0.70711,Song et al. (2015)
Meishan ,Meishan-15,Late Permian ,Changhsingian ,253.08,,Clarkina changxingensis ,0.70716,Song et al. (2015)
Meishan ,Meishan-13,Late Permian ,Changhsingian ,253.24,,Clarkina changxingensis ,0.70711,Song et al. (2015)
Meishan ,Meishan-11,Late Permian ,Changhsingian ,253.4,,Clarkina changxingensis ,0.70711,Song et al. (2015)
Meishan ,Meishan-10,Late Permian ,Changhsingian ,253.47,,Clarkina changxingensis ,0.70705,Song et al. (2015)
Meishan ,Meishan-8,Late Permian ,Changhsingian ,253.63,,Clarkina changxingensis ,0.70716,Song et al. (2015)
Meishan ,Meishan-7,Late Permian ,Changhsingian ,253.7,,Clarkina changxingensis ,0.70706,Song et al. (2015)
Meishan ,Meishan-6,Late Permian ,Changhsingian ,253.77,,Clarkina changxingensis ,0.7071,Song et al. (2015)
Meishan ,Meishan-5,Late Permian ,Changhsingian ,253.84,,Clarkina changxingensis ,0.70695,Song et al. (2015)
Meishan ,Meishan-4,Late Permian ,Changhsingian ,253.91,,Clarkina wangi ,0.70714,Song et al. (2015)
Meishan ,Meishan-3,Late Permian ,Changhsingian ,253.98,,Clarkina wangi ,0.70694,Song et al. (2015)
Meishan ,Meishan-2,Late Permian ,Changhsingian ,254.05,,Clarkina wangi ,0.70719,Song et al. (2015)
Meishan ,Meishan-1,Late Permian ,Changhsingian ,254.14,,Clarkina wangi ,0.70718,Song et al. (2015)
,IZ153a,Early Triassic,Spathian,247.28,,,0.7081,Sedlacek et al. (2014)
,IZ145,Early Triassic,Spathian,247.95,,,0.708128,Sedlacek et al. (2014)
,IZ132,Early Triassic,Spathian,249.5,,,0.70801,Sedlacek et al. (2014)
,IZ131,Early Triassic,Spathian,249.66,,,0.707982,Sedlacek et al. (2014)
,IZ122,Early Triassic,Spathian,250.66,,,0.707878,Sedlacek et al. (2014)
,IZ120,Early Triassic,Smithian,250.68,,,0.707871,Sedlacek et al. (2014)
,IZ113,Early Triassic,Smithian,250.77,,,0.707862,Sedlacek et al. (2014)
,IZ111,Early Triassic,Smithian,250.81,,,0.707724,Sedlacek et al. (2014)
,IZ108,Early Triassic,Smithian,250.85,,,0.707707,Sedlacek et al. (2014)
,IZ104,Early Triassic,Smithian,250.91,,,0.707681,Sedlacek et al. (2014)
,IZ100,Early Triassic,Smithian,250.95,,,0.707737,Sedlacek et al. (2014)
,IZ99,Early Triassic,Smithian,250.96,,,0.707594,Sedlacek et al. (2014)
,IZ98,Early Triassic,Smithian,250.98,,,0.707662,Sedlacek et al. (2014)
,IZ96,Early Triassic,Dienerian,251.01,,,0.70759,Sedlacek et al. (2014)
,IZ95,Early Triassic,Dienerian,251.02,,,0.707585,Sedlacek et al. (2014)
,IS92,Early Triassic,Dienerian,251.04,,,0.707548,Sedlacek et al. (2014)
,IS90,Early Triassic,Dienerian,251.06,,,0.707605,Sedlacek et al. (2014)
,IS86,Early Triassic,Dienerian,251.07,,,0.707517,Sedlacek et al. (2014)
,IS84,Early Triassic,Dienerian,251.08,,,0.707524,Sedlacek et al. (2014)
,IS83,Early Triassic,Dienerian,251.09,,,0.70749,Sedlacek et al. (2014)
,IS82,Early Triassic,Dienerian,251.1,,,0.707514,Sedlacek et al. (2014)
