Sample,Country,Formation,Section,Elevation (m),Period,Age,CIA,WIP,CIAcorr.,References,Shuiyuguan section,Dalongkou section
DLK-32-1,Xinjiang,Guodikeng,Dalongkou section,50.02,Early Triassic,Griesbachian,57,54,58,"Xu et al., 2023",,50.02
DLK-30-1,Xinjiang,Guodikeng,Dalongkou section,45.55,Early Triassic,Griesbachian,57,56,59,"Xu et al., 2023",,45.55
DLK-29-2,Xinjiang,Guodikeng,Dalongkou section,44.14,Early Triassic,Griesbachian,62,54,64,"Xu et al., 2023",,44.14
DLK-29-1,Xinjiang,Guodikeng,Dalongkou section,42.7,Early Triassic,Griesbachian,59,54,61,"Xu et al., 2023",,42.7
DLK-28-4,Xinjiang,Guodikeng,Dalongkou section,40.94,Early Triassic,Griesbachian,62,56,66,"Xu et al., 2023",,40.94
DLK-28-3,Xinjiang,Guodikeng,Dalongkou section,37.64,Early Triassic,Griesbachian,67,52,73,"Xu et al., 2023",,37.64
DLK-28-2,Xinjiang,Guodikeng,Dalongkou section,34.34,Early Triassic,Griesbachian,64,51,70,"Xu et al., 2023",,34.34
DLK-28-1,Xinjiang,Guodikeng,Dalongkou section,32.84,Early Triassic,Griesbachian,65,51,67,"Xu et al., 2023",,32.84
DLK-27-2,Xinjiang,Guodikeng,Dalongkou section,31.74,Early Triassic,Griesbachian,62,52,66,"Xu et al., 2023",,31.74
DLK-27-1,Xinjiang,Guodikeng,Dalongkou section,30.34,Early Triassic,Griesbachian,60,54,61,"Xu et al., 2023",,30.34
DLK-26-4,Xinjiang,Guodikeng,Dalongkou section,29.24,Early Triassic,Griesbachian,68,49,75,"Xu et al., 2023",,29.24
DLK-26-3,Xinjiang,Guodikeng,Dalongkou section,28.14,Early Triassic,Griesbachian,65,50,69,"Xu et al., 2023",,28.14
DLK-26-2,Xinjiang,Guodikeng,Dalongkou section,26.74,Early Triassic,Griesbachian,60,55,62,"Xu et al., 2023",,26.74
DLK-26-1,Xinjiang,Guodikeng,Dalongkou section,25.14,Early Triassic,Griesbachian,70,46,78,"Xu et al., 2023",,25.14
DLK-25-5,Xinjiang,Guodikeng,Dalongkou section,23.38,Early Triassic,Griesbachian,65,53,69,"Xu et al., 2023",,23.38
DLK-25-4,Xinjiang,Guodikeng,Dalongkou section,22.08,Early Triassic,Griesbachian,67,48,72,"Xu et al., 2023",,22.08
