Location,Sample No.,Period,Series,Stage,Age (Ma),"Biozones (conodonts, ammonoids, brachiopods)","Biozones (conodonts, ammonoids, brachiopods)",Sr ,Reference,"Song et al., 2015",
Tieqiao,1241746,Permian,Early Permian,Kungurian,280.31,Carbonate,,0.707371,"Cao et al., 2022",0.707371185,
Tieqaio,1241790,Permian,Early Permian,Kungurian,278.57,Carbonate,,0.707274,"Cao et al., 2022",0.707273676,
Tieqaio,1241842,Permian,Early Permian,Kungurian,275.95,Carbonate,,0.707227,"Cao et al., 2022",0.707226738,
Tieqaio,1241894,Permian,Early Permian,Kungurian,273.95,Carbonate,S. subasymmetricus,0.707156,"Cao et al., 2022",0.707156288,
Tieqaio,1241926,Permian,Early Permian,Kungurian,273.09,Carbonate,S. subasymmetricus,0.707076,"Cao et al., 2022",0.707076498,
Tieqaio,1241960,Permian,Middle Permian,Roadian,270.45,Carbonate,J. nankingensis,0.707205,"Cao et al., 2022",0.707205229,
Tieqaio,1241997,Permian,Middle Permian,Roadian,269.3,Carbonate,J. nankingensis,0.7071,"Cao et al., 2022",0.707099817,
Tieqaio,1242446,Permian,Middle Permian,Wordian,268.09,Carbonate,J. aserrata,0.707078,"Cao et al., 2022",0.707077906,
Tieqaio,1242454,Permian,Middle Permian,Wordian,266.77,Carbonate,J. aserrata,0.707131,"Cao et al., 2022",0.70713056,
Tieqaio,1242462,Permian,Middle Permian,Capitanian,265.1,Carbonate,J. aserrata,0.707127,"Cao et al., 2022",0.707127,
Tieqaio,1242470,Permian,Middle Permian,Capitanian,264.34,Carbonate,J. posterrata,0.707136,"Cao et al., 2022",0.707136389,
Tieqaio,1242478,Permian,Middle Permian,Capitanian,263.43,Carbonate,J. posterrata,0.707127,"Cao et al., 2022",0.707127,
Tieqaio,1242486,Permian,Middle Permian,Capitanian,262.55,Carbonate,J. shannoni/J. altudaensis,0.707227,"Cao et al., 2022",0.707227248,
Tieqaio,1242493,Permian,Middle Permian,Capitanian,261.75,Carbonate,J. shannoni/J. altudaensis,0.707084,"Cao et al., 2022",0.707083743,
Tieqaio,1242512*,Permian,Middle Permian,Capitanian,260.03,Carbonate,J. prexuanhanensis,0.707177,"Cao et al., 2022",0.707177236,
Tieqaio,2584,Permian,Late Permian ,Wuchiapingian,258.72,Carbonate,C. leveni(?),0.7071,"Cao et al., 2022",0.7071,
Tieqaio,2619,Permian,Late Permian ,Wuchiapingian,257.96,Carbonate,,0.707185,"Cao et al., 2022",0.707185,
Tieqaio,2660,Permian,Late Permian ,Wuchiapingian,257.5,Carbonate,,0.707198,"Cao et al., 2022",0.70719778,
Tieqaio,2704,Permian,Late Permian ,Wuchiapingian,256.59,Carbonate,,0.707237,"Cao et al., 2022",0.707237,
Tieqaio,2729,Permian,Late Permian ,Wuchiapingian,255.64,Carbonate,,0.707203,"Cao et al., 2022",0.707203427,
Tieqaio,2743,Permian,Late Permian ,Wuchiapingian,255.21,Carbonate,,,"Cao et al., 2022",NA,
Tieqaio,2790,Permian,Late Permian ,Wuchiapingian,254.31,Carbonate,,0.707172,"Cao et al., 2022",0.707172,
Jolfa,JAF_2018_C_1019,Permian,Late Permian ,Wuchiapingian,256.32,Brachiopod,,0.707014,"Cao et al., 2022",0.707014,
Reef trail,JAF_2018_C_1011,Permian,Middle Permian,Capitanian,260.31,Brachiopod,,0.706815,"Cao et al., 2022",0.706815,
RC 46.5 mi. from Carlsbad,JAF_2018_C_1010,Permian,Middle Permian,Capitanian,263.6,Brachiopod,,0.706842,"Cao et al., 2022",0.706842,
,HB 11 1,Permian,Late Permian ,Wuchiapingian,255.73,brachiopod,"U5c=APP5005/6, Cherrabun Mbr.",0.707151,"Morante, 1996",0.707151,
,HB 11 2,Permian,Late Permian ,Wuchiapingian,255.73,brachiopod,"U5c=APP5005/6, Cherrabun Mbr.",0.707141,"Morante, 1996",0.707141,
,"S 19 514,25",Permian,Late Permian ,Wuchiapingian,256.54,brachiopod,"U5b=APP5004, top Peawaddy",0.706881,"Morante, 1996",0.706881,
,UQ L 2421,Permian,Late Permian ,Wuchiapingian,256.54,brachiopod,"U5c=APP5004, top Peawaddy",0.706941,"Morante, 1996",0.706941,
,E 1 647,Permian,Late Permian ,Wuchiapingian,257.25,brachiopod,"U5 = APP5, Peawaddy",0.706921,"Morante, 1996",0.706921,
,E 5 735,Permian,Middle Permian,Capitanian,261.57,brachiopod,"bottom U5b= APP5004, top Ingelara",0.706451,"Morante, 1996",0.706451,
,E 5 735,Permian,Middle Permian,Capitanian,261.57,brachiopod,"bottom U5b= APP5004, top Ingelara",0.706501,"Morante, 1996",0.706501,
,E 1 692,Permian,Middle Permian,Capitanian,261.92,brachiopod,"U5 = APP5, top third Ingelara",0.706791,"Morante, 1996",0.706791,
,"E 1 693,8",Permian,Middle Permian,Capitanian,261.92,brachiopod,"U5 = APP5, top third Ingelara",0.706831,"Morante, 1996",0.706831,
,"E 1 701,8",Permian,Middle Permian,Capitanian,262.16,brachiopod,"U5 = APP5, top third Ingelara",0.706901,"Morante, 1996",0.706901,
,E 1 702,Permian,Middle Permian,Capitanian,262.16,brachiopod,"U5 = APP5, top third Ingelara",0.706871,"Morante, 1996",0.706871,
,E 1 784,Permian,Middle Permian,Capitanian,263.04,brachiopod,"U5a= 5001-2, Freitag equivalent",0.706851,"Morante, 1996",0.706851,
,"E 1 793,1",Permian,Middle Permian,Capitanian,263.04,brachiopod,"U5a= 5001-2, Freitag equivalent",0.706881,"Morante, 1996",0.706881,
,E 5 833,Permian,Middle Permian,Capitanian,263.04,brachiopod,"U5a= 5001-3, Freitag",0.706861,"Morante, 1996",0.706861,
,UQ L 3543,Permian,Middle Permian,Capitanian,264.51,brachiopod,"L5c=APP43, Scottsville Mbr.",0.706941,"Morante, 1996",0.706941,
,"E 5 864,35",Permian,Middle Permian,Wordian,266.95,brachiopod,"L5c=APP43, top [third] Aldebaran",0.706881,"Morante, 1996",0.706881,
,"E 5 972,59",Permian,Middle Permian,Wordian,269.58,brachiopod,"U4 non; L5b=APP42, middle Aldebaran",0.707051,"Morante, 1996",0.707051,
,UQ L 5129,Permian,Middle Permian,Wordian,271.72,brachiopod,"top U4b= APP33, Fenestella Shale",0.706971,"Morante, 1996",0.706971,
New South Wales,42,Permian,Middle Permian,Roadian,271,brachiopod (doubtful),"Ingerella sp._Gerringong Volcanics, Sydney Basin",0.706919,"Veizer and Compston, 1974",0.706919,
New South Wales,43,Permian,Middle Permian,Roadian,271,brachiopod (doubtful),"Spirifer convolutus_Gerringong Volcanics, Sydney Basin",0.707219,"Veizer and Compston, 1974",0.707219,
Garden Valley Formation / Nevada,NV-3,Permian,Early Permian,Art,275,conodonts,M. bisselli-Sw. primus,0.707957,"Marting and Madcougall, 1995",0.707957,
"Skinner Ranch, Glass Mountains / Texas",SR-I,Permian,Middle Permian,Art,267.1,conodonts,M. bisselli-Sw. shitei,0.708011,"Marting and Madcougall, 1995",0.708011,
"Skinner Ranch, Glass Mountains / Texas",SR-2,Permian,Middle Permian,Art,266.9,conodonts,,0.708093,"Marting and Madcougall, 1995",0.708093,
"Skinner Ranch, Glass Mountains / Texas",SR-3,Permian,Middle Permian,Kung,266.7,conodonts,N. exsculptus-M. gujoensis,0.708345,"Marting and Madcougall, 1995",0.708345,
"Skinner Ranch, Glass Mountains / Texas",SR-4,Permian,Middle Permian,Kung,266.5,conodonts,N. foliatus,0.707605,"Marting and Madcougall, 1995",0.707605,
"Skinner Ranch, Glass Mountains / Texas",SR-5,Permian,Middle Permian,Kung,266.3,conodonts,M. foliatus-M/ idahoensis,0.707453,"Marting and Madcougall, 1995",0.707453,
"Skinner Ranch, Glass Mountains / Texas",SR-6,Permian,Middle Permian,Kung,266.1,conodonts,M. foliatus-M/ idahoensis,0.707629,"Marting and Madcougall, 1995",0.707629,
"Skinner Ranch, Glass Mountains / Texas",SR-7,Permian,Middle Permian,Kung,265.9,conodonts,M. foliatus-M/ idahoensis,0.707643,"Marting and Madcougall, 1995",0.707643,
"Skinner Ranch, Glass Mountains / Texas",SR-8,Permian,Middle Permian,Kung,265.7,conodonts,N. prayi-M. idahoensis,0.707561,"Marting and Madcougall, 1995",0.707561,
"Skinner Ranch, Glass Mountains / Texas",SR-9,Permian,Middle Permian,Kung,265.5,conodonts,N. prayi-M. idahoensis,0.707506,"Marting and Madcougall, 1995",0.707506,
"Skinner Ranch, Glass Mountains / Texas",SR-10,Permian,Middle Permian,Kung,265.3,conodonts,N. prayi-M. idahoensis,0.707513,"Marting and Madcougall, 1995",0.707513,
"Skinner Ranch, Glass Mountains / Texas",SR-11,Permian,Middle Permian,Kung,265.1,conodonts,N. prayi-M. idahoensis,0.707416,"Marting and Madcougall, 1995",0.707416,
"Skinner Ranch, Glass Mountains / Texas",SR-12,Permian,Middle Permian,Kung,264.9,conodonts,N. prayi-M. idahoensis,0.707461,"Marting and Madcougall, 1995",0.707461,
"Split Tank, Glass Mountains / Texas",ST-I,Permian,Middle Permian,Kung,264.75,conodonts,N. prayi-M. idahoensis,0.707336,"Marting and Madcougall, 1995",0.707336,
"Split Tank, Glass Mountains / Texas",ST-2,Permian,Middle Permian,Kung,264.6,conodonts,N. sulcopilcatus-M. idahoensis,0.707341,"Marting and Madcougall, 1995",0.707341,
"Split Tank, Glass Mountains / Texas",ST-3,Permian,Middle Permian,Kung,264.4,conodonts,N. sulcopilcatus-M. idahoensis,0.707333,"Marting and Madcougall, 1995",0.707333,
"Split Tank, Glass Mountains / Texas",ST-4+5,Permian,Middle Permian,Kung/Uf,264,conodonts,N. sulcopilcatus-M. idahoensis,0.707388,"Marting and Madcougall, 1995",0.707388,
"Split Tank, Glass Mountains / Texas",ST-6,Permian,Middle Permian,Uf,262.1,conodonts,M. serrata,0.707331,"Marting and Madcougall, 1995",0.707331,
Del Norte Mountains / Texas,TX-2,Permian,Middle Permian,Kaz,261.75,conodonts,M. asserrata,0.707229,"Marting and Madcougall, 1995",0.707229,
Del Norte Mountains / Texas,TX-3,Permian,Middle Permian,Kaz,261,conodonts,M. asserrata,0.706914,"Marting and Madcougall, 1995",0.706914,
Del Norte Mountains / Texas,TX-5,Permian,Late Permian ,Cap,258.25,conodonts,M. asserrata,0.707031,"Marting and Madcougall, 1995",0.707031,
Del Norte Mountains / Texas,TX-6,Permian,Late Permian ,Cap,257.8,conodonts,Del Norte Mountains / M. postserrata,0.706948,"Marting and Madcougall, 1995",0.706948,
"Bird Mine, Del Norte Mountains / Texas",BM-I,Permian,Late Permian ,Cap,258.25,conodonts,M. asserrata,0.707247,"Marting and Madcougall, 1995",0.707247,
"Bird Mine, Del Norte Mountains / Texas",BM-2,Permian,Late Permian ,Cap,257.8,conodonts,M. postserrata,0.707406,"Marting and Madcougall, 1995",0.707406,
"Bird Mine, Del Norte Mountains / Texas",BM-3,Permian,Late Permian ,Cap,256.3,conodonts,M. postserrata,0.707059,"Marting and Madcougall, 1995",0.707059,
"Bird Mine, Del Norte Mountains / Texas",BM-4,Permian,Late Permian ,Cap,256.1,conodonts,M. nuchalina,0.707027,"Marting and Madcougall, 1995",0.707027,
"Bird Mine, Del Norte Mountains / Texas",BM-5,Permian,Late Permian ,Cap,256.5,conodonts,M. postserrata,0.706913,"Marting and Madcougall, 1995",0.706913,
Baldwin Creek / Wyoming,BC-1,Permian,Middle Permian,Kung,264.5,conodonts,N. sulcopilcatus-M. idahoensis,0.70734,"Marting and Madcougall, 1995",0.70734,
Baldwin Creek / Wyoming,BC-2,Permian,Middle Permian,Kung,264.3,conodonts,N. sulcopilcatus-M. idahoensis,0.707404,"Marting and Madcougall, 1995",0.707404,
Baldwin Creek / Wyoming,BC-3,Permian,Middle Permian,Kung,264.1,conodonts,N. sulcopilcatus-M. idahoensis,0.707373,"Marting and Madcougall, 1995",0.707373,
Baldwin Creek / Wyoming,BC-4+5,Permian,Middle Permian,Kaz/Uf,262.25,conodonts,N.newelli-M.gujoensis and M. bitteri,0.707133,"Marting and Madcougall, 1995",0.707133,
Baldwin Creek / Wyoming,BC-6,Permian,Middle Permian,Kaz,260.75,conodonts,M. bitteri,0.707208,"Marting and Madcougall, 1995",0.707208,
Baldwin Creek / Wyoming,BC-7,Permian,Middle Permian,Kaz,260,conodonts,M. bitteri,0.7071,"Marting and Madcougall, 1995",0.7071,
Baldwin Creek / Wyoming,BC-8,Permian,Late Permian ,Kaz,259.25,conodonts,Me. Divergens,0.707091,"Marting and Madcougall, 1995",0.707091,
Baldwin Creek / Wyoming,BC-9,Permian,Late Permian ,Kaz,258.6,conodonts,Me. Divergens,0.707063,"Marting and Madcougall, 1995",0.707063,
Crittenden Springs / Nevada,CS-1,Triassic,Early Triassic,Gries,250,conodonts,I. isarciaca,0.707657,"Marting and Madcougall, 1995",0.707657,
Crittenden Springs / Nevada,CS-2,Triassic,Early Triassic,Smith,248.5,conodonts,N. milleri,0.707885,"Marting and Madcougall, 1995",0.707885,
Crittenden Springs / Nevada,CS-3,Triassic,Early Triassic,Smith,248.4,conodonts,Ne. waageni,0.707867,"Marting and Madcougall, 1995",0.707867,
Crittenden Springs / Nevada,CS-4,Triassic,Early Triassic,Smith,248.25,conodonts,Ne. waageni,0.70794,"Marting and Madcougall, 1995",0.70794,
"Saidu Wali, Hkisor Range",SA-1 +2,Permian,Middle Permian,Kaz,260.75,conodonts,M. phosphoriensis/ M. bitteri,0.707211,"Marting and Madcougall, 1995",0.707211,
"Saidu Wali, Hkisor Range",SA-3 + 4,Permian,Middle Permian,Kaz,259.3,conodonts,Me. Divergens,0.707388,"Marting and Madcougall, 1995",0.707388,
"Saidu Wali, Hkisor Range",SA-5+6,Permian,Middle Permian,Kaz,258.75,conodonts,Me. Divergens,0.707117,"Marting and Madcougall, 1995",0.707117,
"Koria Lodlian , Khisor Range",KL-1,Permian,Middle Permian,Kaz,260.75,conodonts,Me. Divergens,0.70719,"Marting and Madcougall, 1995",0.70719,
"Koria Lodlian , Khisor Range",KL-2+3,Permian,Middle Permian,Cap,257.25,conodonts,Me. Divergens,0.707168,"Marting and Madcougall, 1995",0.707168,
"Koria Lodlian , Khisor Range",KL-4+5,Permian,Late Permian ,Wuch,255.7,conodonts,M. leveni,0.707201,"Marting and Madcougall, 1995",0.707201,
"Koria Lodlian , Khisor Range",KL-6,Permian,Late Permian ,Wuch,255.25,conodonts,M. leveni,0.7071,"Marting and Madcougall, 1995",0.7071,
"Koria Lodlian , Khisor Range",KL-7,Permian,Late Permian ,Wuch,254.8,conodonts,M. leveni,0.707102,"Marting and Madcougall, 1995",0.707102,
"Koria Lodlian , Khisor Range",KL-8,Permian,Late Permian ,Wuch,254.6,conodonts,M. leveni,0.707117,"Marting and Madcougall, 1995",0.707117,
"Koria Lodlian , Khisor Range",KL-9,Permian,Late Permian ,Wuch,254.1,conodonts,M. guanyuanesis,0.707186,"Marting and Madcougall, 1995",0.707186,
"Koria Lodlian , Khisor Range",KL-10,Permian,Late Permian ,Wuch,253.75,conodonts,M. orientalis,0.70724,"Marting and Madcougall, 1995",0.70724,
"Chhidru Nala, Salt Range",CD-I +2,Permian,Late Permian ,Kaz/Cap,258.6,conodonts,Me. Divergens,0.70713,"Marting and Madcougall, 1995",0.70713,
"Chhidru Nala, Salt Range",CD-3,Permian,Late Permian ,Wuch,254.3,conodonts,M. orientalis,0.707399,"Marting and Madcougall, 1995",0.707399,
"Chhidru Nala, Salt Range",CD-4,Permian,Late Permian ,Chang,253.4,conodonts,M. subcarinata,0.70769,"Marting and Madcougall, 1995",0.70769,
"Chhidru Nala, Salt Range",CD-5,Permian,Late Permian ,Chang,252.7,conodonts,M. subcarinata,0.707322,"Marting and Madcougall, 1995",0.707322,
"Chhidru Nala, Salt Range",CD-6,Triassic,Early Triassic,Chang,251.8,conodonts,M. carinata,0.707427,"Marting and Madcougall, 1995",0.707427,
"Chhidru Nala, Salt Range",CD-7,Triassic,Early Triassic,Dien,249,conodonts,Ne. parkistanensis,0.707736,"Marting and Madcougall, 1995",0.707736,
"Kathwai, Salt Range",KA-I,Permian,Late Permian ,Chang,252.3,conodonts,M. subcarinata,0.707499,"Marting and Madcougall, 1995",0.707499,
"Kathwai, Salt Range",KA-2,Permian,Late Permian ,Chang,252.2,conodonts,M. subcarinata,0.707568,"Marting and Madcougall, 1995",0.707568,
"Kathwai, Salt Range",KA-3,Permian,Late Permian ,Chang,252,conodonts,M. carinata,0.707458,"Marting and Madcougall, 1995",0.707458,
"Kathwai, Salt Range",KA-4,Triassic,Early Triassic,Chang,251.8,conodonts,M. carinata,0.707587,"Marting and Madcougall, 1995",0.707587,
"Kathwai, Salt Range",KA-5,Triassic,Early Triassic,Chang,251.7,conodonts,M. carinata,0.707469,"Marting and Madcougall, 1995",0.707469,
"Chatuwala Nala, Salt Range",CW-I,Triassic,Early Triassic,Chang,251.8,conodonts,M. subcarinata,0.70744,"Marting and Madcougall, 1995",0.70744,
"Chatuwala Nala, Salt Range",CW-2,Triassic,Early Triassic,Chang,251.6,conodonts,M. carinata,0.707503,"Marting and Madcougall, 1995",0.707503,
"Chatuwala Nala, Salt Range",CW-3.,Triassic,Early Triassic,Gries,250.75,conodonts,H. parvus,0.707308,"Marting and Madcougall, 1995",0.707308,
"Chatuwala Nala, Salt Range",CW-4,Triassic,Early Triassic,Gries,249.75,conodonts,I. isarciaca,0.707626,"Marting and Madcougall, 1995",0.707626,
"Nammal Nalaá, Salt Range",NN-1,Triassic,Early Triassic,Gries,249.75,conodonts,I. isarciaca,0.707856,"Marting and Madcougall, 1995",0.707856,
"Nammal Nalaá, Salt Range",NN-2,Triassic,Early Triassic,Dien,249.4,conodonts,Ne. cristagalli,0.707895,"Marting and Madcougall, 1995",0.707895,
"Nammal Nalaá, Salt Range",NN-3,Triassic,Early Triassic,Dien,249.25,conodonts,Ne. cristagalli,0.708197,"Marting and Madcougall, 1995",0.708197,
"Nammal Nalaá, Salt Range",NN-5,Triassic,Early Triassic,Dien,248.75,conodonts,Ne. parkistanensis,0.708178,"Marting and Madcougall, 1995",0.708178,
"Nammal Nalaá, Salt Range",NN-6,Triassic,Early Triassic,Dien,248.6,conodonts,Ne. parkistanensis,0.708377,"Marting and Madcougall, 1995",0.708377,
"Nammal Nalaá, Salt Range",NN-7,Triassic,Early Triassic,Smith,248.35,conodonts,N. milleri,0.708203,"Marting and Madcougall, 1995",0.708203,
,,,modern,,,,,0.709202,,,Kuznetsov et al. (2012)
