Location,Sample No.,Period,Series,Stage,Age (Ma),"Biozones (conodonts, ammonoids, brachiopods)","Biozones (conodonts, ammonoids, brachiopods)",Sr ,Reference,"Song et al., 2015",
Qingyan,Qingyan-28 ,Triassic,Early Triassic,Spathian,248.8,,Triassospathodus homeri ,0.70822,"Song et al., 2015",0.70822,
Guandao,GuandaoI-27 ,Triassic,Early Triassic,Spathian,248.81,,Triassospathodus homeri ,0.70846,"Song et al., 2015",0.70846,
Qingyan,Qingyan-27 ,Triassic,Early Triassic,Spathian,248.98,,Triassospathodus homeri ,0.70837,"Song et al., 2015",0.70837,
Qingyan,Qingyan-26 ,Triassic,Early Triassic,Spathian,249.15,,Triassospathodus homeri ,0.70815,"Song et al., 2015",0.70815,
Guandao ,GuandaoI-25 ,Triassic,Early Triassic,Spathian,249.2,,Triassospathodus homeri ,0.70802,"Song et al., 2015",0.70802,
Qingyan,Qingyan-25 ,Triassic,Early Triassic,Spathian,249.33,,Triassospathodus homeri ,0.70827,"Song et al., 2015",0.70827,
Guandao,GuandaoI-24 ,Triassic,Early Triassic,Spathian,249.4,,Triassospathodus homeri ,0.70826,"Song et al., 2015",0.70826,
Qingyan,Qingyan-23 ,Triassic,Early Triassic,Spathian,249.68,,Triassospathodus homeri ,0.70813,"Song et al., 2015",0.70813,
Qingyan,Qingyan-22 ,Triassic,Early Triassic,Spathian,249.85,,Triassospathodus homeri ,0.70797,"Song et al., 2015",0.70797,
Guandao,GuandaoI-22 ,Triassic,Early Triassic,Spathian,250,,Icriospathodus crassatus ,0.7078,"Song et al., 2015",0.7078,
Qingyan,Qingyan-20 ,Triassic,Early Triassic,Spathian,250.2,,Triassospathodus homeri ,0.70825,"Song et al., 2015",0.70825,
Qingyan,Qingyan-19 ,Triassic,Early Triassic,Spathian,250.38,,Triassospathodus homeri ,0.7083,"Song et al., 2015",0.7083,
Guandao,GuandaoI-19 ,Triassic,Early Triassic,Smithian,250.45,,Icriospathodus crassatus ,0.70782,"Song et al., 2015",0.70782,
Guandao,GuandaoI-18 ,Triassic,Early Triassic,Smithian,250.5,,Icriospathodus crassatus ,0.70785,"Song et al., 2015",0.70785,
Guandao,GuandaoI-17 ,Triassic,Early Triassic,Smithian,250.55,,Icriospathodus crassatus ,0.708,"Song et al., 2015",0.708,
Guandao,GuandaoI-16 ,Triassic,Early Triassic,Smithian,250.6,,Neospathodus waageni ,0.70788,"Song et al., 2015",0.70788,
Qingyan,Qingyan-16 ,Triassic,Early Triassic,Smithian,250.65,,Neospathodus waageni ,0.70791,"Song et al., 2015",0.70791,
Qingyan,Qingyan-15 ,Triassic,Early Triassic,Smithian,250.75,,Neospathodus waageni ,0.70796,"Song et al., 2015",0.70796,
Guandao,GuandaoI-14 ,Triassic,Early Triassic,Smithian,250.76,,Neospathodus waageni ,0.70795,"Song et al., 2015",0.70795,
Guandao,GuandaoI-13 ,Triassic,Early Triassic,Smithian,250.81,,Neospathodus waageni ,0.70791,"Song et al., 2015",0.70791,
Qingyan,Qingyan-14 ,Triassic,Early Triassic,Smithian,250.85,,Neospathodus waageni ,0.70794,"Song et al., 2015",0.70794,
Guandao,GuandaoI-12 ,Triassic,Early Triassic,Smithian,250.86,,Neospathodus waageni ,0.70818,"Song et al., 2015",0.70818,
Guandao,GuandaoI-11 ,Triassic,Early Triassic,Smithian,250.91,,Neospathodus waageni ,0.70785,"Song et al., 2015",0.70785,
Qingyan,Qingyan-13 ,Triassic,Early Triassic,Smithian,250.95,,Neospathodus waageni ,0.7077,"Song et al., 2015",0.7077,
Guandao,GuandaoI-9 ,Triassic,Early Triassic,Smithian,251,,Neospathodus waageni ,0.70783,"Song et al., 2015",0.70783,
Guandao,GuandaoI-8 ,Triassic,Early Triassic,Smithian,251.05,,Neospathodus waageni ,0.70774,"Song et al., 2015",0.70774,
 Qingyan ,Qingyan-11 ,Triassic,Early Triassic,Smithian,251.15,,Neospathodus waageni ,0.70792,"Song et al., 2015",0.70792,
Guandao,GuandaoI-6 ,Triassic,Early Triassic,Dienerian,251.25,,Neospathodus cristagalli ,0.70779,"Song et al., 2015",0.70779,
Qingyan,Qingyan-9 ,Triassic,Early Triassic,Dienerian,251.26,,Neospathodus cristagalli ,0.70802,"Song et al., 2015",0.70802,
Qingyan,Qingyan-7 ,Triassic,Early Triassic,Dienerian,251.44,,Neospathodus cristagalli ,0.70763,"Song et al., 2015",0.70763,
Qingyan,Qingyan-6 ,Triassic,Early Triassic,Dienerian,251.53,,Neospathodus dieneri ,0.70771,"Song et al., 2015",0.70771,
Guandao,GuandaoI-5 ,Triassic,Early Triassic,Dienerian,251.6,,Neospathodus dieneri ,0.70779,"Song et al., 2015",0.70779,
Qingyan,Qingyan-5 ,Triassic,Early Triassic,Dienerian,251.62,,Neospathodus dieneri ,0.7075,"Song et al., 2015",0.7075,
Meishan ,Meishan-37 ,Triassic,Early Triassic,Griesbachian ,252.05,,Isarcicella isarcica ,0.7075,"Song et al., 2015",0.7075,
Meishan ,Meishan-36,Triassic,Early Triassic,Griesbachian ,252.1,,Isarcicella isarcica ,0.7075,"Song et al., 2015",0.7075,
Meishan ,Meishan-35,Triassic,Early Triassic,Griesbachian ,252.13,,Hindeodus parvus ,0.70709,"Song et al., 2015",0.70709,
Meishan ,Meishan-34,Triassic,Early Triassic,Griesbachian ,252.17,,Hindeodus parvus ,0.70709,"Song et al., 2015",0.70709,
Guandao,GuandaoI-2 ,Triassic,Early Triassic,Griesbachian ,252.2,,Hindeodus parvus ,0.70735,"Song et al., 2015",0.70735,
Meishan ,Meishan-33,Permian,Late Permian ,Changhsingian ,252.22,,Hindeodus changxingensis ,0.70741,"Song et al., 2015",0.70741,
Meishan ,Meishan-32,Permian,Late Permian ,Changhsingian ,252.26,,Hindeodus changxingensis ,0.70751,"Song et al., 2015",0.70751,
Meishan ,Meishan-30,Permian,Late Permian ,Changhsingian ,252.3,,Clarkina yini ,0.70716,"Song et al., 2015",0.70716,
Meishan ,Meishan-31,Permian,Late Permian ,Changhsingian ,252.3,,Clarkina yini ,0.70681,"Song et al., 2015",0.70681,
Meishan ,Meishan-27,Permian,Late Permian ,Changhsingian ,252.34,,Clarkina yini ,0.70717,"Song et al., 2015",0.70717,
Meishan ,Meishan-28,Permian,Late Permian ,Changhsingian ,252.36,,Clarkina yini ,0.70709,"Song et al., 2015",0.70709,
Meishan ,Meishan-26,Permian,Late Permian ,Changhsingian ,252.4,,Clarkina yini ,0.70717,"Song et al., 2015",0.70717,
Meishan ,Meishan-23,Permian,Late Permian ,Changhsingian ,252.42,,Clarkina yini ,0.70711,"Song et al., 2015",0.70711,
Meishan ,Meishan-24,Permian,Late Permian ,Changhsingian ,252.44,,Clarkina yini ,0.70716,"Song et al., 2015",0.70716,
Meishan ,Meishan-25,Permian,Late Permian ,Changhsingian ,252.46,,Clarkina yini ,0.70707,"Song et al., 2015",0.70707,
Meishan ,Meishan-22,Permian,Late Permian ,Changhsingian ,252.48,,Clarkina yini ,0.70713,"Song et al., 2015",0.70713,
Meishan ,Meishan-21,Permian,Late Permian ,Changhsingian ,252.66,,Clarkina changxingensis ,0.70713,"Song et al., 2015",0.70713,
Meishan ,Meishan-20,Permian,Late Permian ,Changhsingian ,252.73,,Clarkina changxingensis ,0.70706,"Song et al., 2015",0.70706,
