Sample,Country,Formation,Section,Elevation,Period,Time,Age,CIA,WIP,CIAcorr.,References
DLK-23-1,Xinjiang,Guodikeng,Dalongkou,9.21,Late Permian,Permian,Changhsingian,72,43,78,"Xu et al., 2023"
DLK-22-1,Xinjiang,Guodikeng,Dalongkou,7,Late Permian,Permian,Changhsingian,68,45,71,"Xu et al., 2023"
DLK-22-zmb,Xinjiang,Guodikeng,Dalongkou,4,Late Permian,Permian,Changhsingian,69,44,73,"Xu et al., 2023"
DLK-21-2,Xinjiang,Guodikeng,Dalongkou,0,Late Permian,Permian,Changhsingian,70,44,75,"Xu et al., 2023"
DLK-21-1,Xinjiang,Guodikeng,Dalongkou,0,Late Permian,Permian,Changhsingian,66,43,69,"Xu et al., 2023"
DLK-20-1,Xinjiang,Guodikeng,Dalongkou,-1.07,Late Permian,Permian,Changhsingian,66,43,69,"Xu et al., 2023"
DLK-19-5,Xinjiang,Guodikeng,Dalongkou,-3,Late Permian,Permian,Changhsingian,68,48,72,"Xu et al., 2023"
DLK-19-4,Xinjiang,Guodikeng,Dalongkou,-3.5,Late Permian,Permian,Changhsingian,67,49,72,"Xu et al., 2023"
DLK-19-3,Xinjiang,Guodikeng,Dalongkou,-4,Late Permian,Permian,Changhsingian,70,47,76,"Xu et al., 2023"
DLK-19-2,Xinjiang,Guodikeng,Dalongkou,-4.5,Late Permian,Permian,Changhsingian,65,48,70,"Xu et al., 2023"
DLK-19-1,Xinjiang,Guodikeng,Dalongkou,-5,Late Permian,Permian,Changhsingian,68,43,71,"Xu et al., 2023"
DLK-18-6,Xinjiang,Guodikeng,Dalongkou,-6.76,Late Permian,Permian,Changhsingian,63,51,66,"Xu et al., 2023"
DLK-18-5,Xinjiang,Guodikeng,Dalongkou,-7.26,Late Permian,Permian,Changhsingian,66,49,68,"Xu et al., 2023"
DLK-18-4,Xinjiang,Guodikeng,Dalongkou,-8.66,Late Permian,Permian,Changhsingian,70,44,73,"Xu et al., 2023"
DLK-18-3,Xinjiang,Guodikeng,Dalongkou,-10.56,Late Permian,Permian,Changhsingian,67,48,70,"Xu et al., 2023"
DLK-18-2,Xinjiang,Guodikeng,Dalongkou,-12.16,Late Permian,Permian,Changhsingian,71,44,76,"Xu et al., 2023"
DLK-18-1,Xinjiang,Guodikeng,Dalongkou,-13.16,Late Permian,Permian,Changhsingian,66,43,67,"Xu et al., 2023"
DLK-17-1,Xinjiang,Guodikeng,Dalongkou,-14.6,Late Permian,Permian,Changhsingian,69,43,73,"Xu et al., 2023"
DLK-15-1,Xinjiang,Guodikeng,Dalongkou,-19.6,Late Permian,Permian,Changhsingian,65,42,67,"Xu et al., 2023"
