Sample,Country,Location,Section,Elevation,Period,Age,Ca,Reference,"Payne etal., 2010","Silva-Tamayo et al., 2018",Dajiang section,Saiq Plateau section,Ta_kent section,Tesero Road section
SQD 2,Oman,Saiq,Saiq Plateau section,143,Early Triassic,Griesbachian,0.7,"Silva-Tamayo et al., 2018",,0.7,,143,,
SQD-1,Oman,Saiq,Saiq Plateau section,133,Early Triassic,Griesbachian,0.85,"Silva-Tamayo et al., 2018",,0.85,,133,,
SQC 27,Oman,Saiq,Saiq Plateau section,130,Late Permian,Changsingian,0.47,"Silva-Tamayo et al., 2018",,0.47,,130,,
SQC- 22,Oman,Saiq,Saiq Plateau section,125,Late Permian,Changsingian,0.61,"Silva-Tamayo et al., 2018",,0.61,,125,,
SQC-21,Oman,Saiq,Saiq Plateau section,124,Late Permian,Changsingian,0.95,"Silva-Tamayo et al., 2018",,0.95,,124,,
SQC-18,Oman,Saiq,Saiq Plateau section,121,Late Permian,Changsingian,1.13,"Silva-Tamayo et al., 2018",,1.13,,121,,
SQC-14,Oman,Saiq,Saiq Plateau section,105,Late Permian,Changsingian,1.19,"Silva-Tamayo et al., 2018",,1.19,,105,,
SQC-10,Oman,Saiq,Saiq Plateau section,85,Late Permian,Changsingian,1.02,"Silva-Tamayo et al., 2018",,1.02,,85,,
SQC-9 ,Oman,Saiq,Saiq Plateau section,80,Late Permian,Changsingian,1.11,"Silva-Tamayo et al., 2018",,1.11,,80,,
SQC-5,Oman,Saiq,Saiq Plateau section,40,Late Permian,Changsingian,0.69,"Silva-Tamayo et al., 2018",,0.69,,40,,
SQC 2,Oman,Saiq,Saiq Plateau section,10,Late Permian,Changsingian,0.72,"Silva-Tamayo et al., 2018",,0.72,,10,,
SQC 1,Oman,Saiq,Saiq Plateau section,0,Late Permian,Changsingian,0.89,"Silva-Tamayo et al., 2018",,0.89,,0,0,
0,Turkey,Taskent,Taskent section,0,Late Permian,Changsingian,0.62,"Silva-Tamayo et al., 2018",,0.62,,0,0,
6,Turkey,Taskent,Taskent section,6,Late Permian,Changsingian,0.52,"Silva-Tamayo et al., 2018",,0.52,,,6,
7,Turkey,Taskent,Taskent section,7,Late Permian,Changsingian,0.32,"Silva-Tamayo et al., 2018",,0.32,,,7,
10,Turkey,Taskent,Taskent section,10,Late Permian,Changsingian,0.25,"Silva-Tamayo et al., 2018",,0.25,,,10,
16,Turkey,Taskent,Taskent section,16,Late Permian,Changsingian,0.26,"Silva-Tamayo et al., 2018",,0.26,,,16,
18,Turkey,Taskent,Taskent section,18,Late Permian,Changsingian,0.4,"Silva-Tamayo et al., 2018",,0.4,,,18,
25,Turkey,Taskent,Taskent section,25,Late Permian,Changsingian,0.2,"Silva-Tamayo et al., 2018",,0.2,,,25,
35,Turkey,Taskent,Taskent section,35,Late Permian,Changsingian,0.09,"Silva-Tamayo et al., 2018",,0.09,,,35,
37,Turkey,Taskent,Taskent section,37,Late Permian,Changsingian,0.36,"Silva-Tamayo et al., 2018",,0.36,,,37,
40,Turkey,Taskent,Taskent section,40,Late Permian,Changsingian,0.01,"Silva-Tamayo et al., 2018",,0.01,,,40,
44,Turkey,Taskent,Taskent section,44,Late Permian,Changsingian,0.19,"Silva-Tamayo et al., 2018",,0.19,,,44,
47,Turkey,Taskent,Taskent section,47,Late Permian,Changsingian,-0.01,"Silva-Tamayo et al., 2018",,-0.01,,,47,
47.5,Turkey,Taskent,Taskent section,47.5,Late Permian,Changsingian,0.28,"Silva-Tamayo et al., 2018",,0.28,,,47.5,
48,Turkey,Taskent,Taskent section,48,Late Permian,Changsingian,0.02,"Silva-Tamayo et al., 2018",,0.02,,,48,
0.03,Turkey,Taskent,Taskent section,48.03,Late Permian,Changsingian,0.3,"Silva-Tamayo et al., 2018",,0.3,,,48,
1.5,Turkey,Taskent,Taskent section,49.5,Late Permian,Changsingian,0.22,"Silva-Tamayo et al., 2018",,0.22,,,49.5,
2.15,Turkey,Taskent,Taskent section,50.15,Late Permian,Changsingian,0.3,"Silva-Tamayo et al., 2018",,0.3,,,50.2,
2.9,Turkey,Taskent,Taskent section,50.9,Early Triassic,Griesbachian,0.2,"Silva-Tamayo et al., 2018",,0.2,,,50.9,
3.8,Turkey,Taskent,Taskent section,51.8,Early Triassic,Griesbachian,0.04,"Silva-Tamayo et al., 2018",,0.04,,,51.8,
4.15,Turkey,Taskent,Taskent section,52.15,Early Triassic,Griesbachian,0.2,"Silva-Tamayo et al., 2018",,0.2,,,52.2,
7.3,Turkey,Taskent,Taskent section,55.3,Early Triassic,Griesbachian,0.32,"Silva-Tamayo et al., 2018",,0.32,,,55.3,
12.3,Turkey,Taskent,Taskent section,60.3,Early Triassic,Griesbachian,-0.04,"Silva-Tamayo et al., 2018",,-0.04,,,60.3,
18.1,Turkey,Taskent,Taskent section,66.1,Early Triassic,Griesbachian,0.11,"Silva-Tamayo et al., 2018",,0.11,,,66.1,
27.1,Turkey,Taskent,Taskent section,75.1,Early Triassic,Griesbachian,0.13,"Silva-Tamayo et al., 2018",,0.13,,,75.1,
34.1,Turkey,Taskent,Taskent section,82.1,Early Triassic,Griesbachian,0.08,"Silva-Tamayo et al., 2018",,0.08,,,82.1,
40.1,Turkey,Taskent,Taskent section,88.1,Early Triassic,Griesbachian,0.1,"Silva-Tamayo et al., 2018",,0.1,,,88.1,
45.5,Turkey,Taskent,Taskent section,93.5,Early Triassic,Griesbachian,0.03,"Silva-Tamayo et al., 2018",,0.03,,,93.5,
47,Turkey,Taskent,Taskent section,95,Early Triassic,Griesbachian,-0.01,"Silva-Tamayo et al., 2018",,-0.01,,,95,
48,Turkey,Taskent,Taskent section,96,Early Triassic,Griesbachian,0.3,"Silva-Tamayo et al., 2018",,0.3,,,96,
48.5,Turkey,Taskent,Taskent section,96.5,Early Triassic,Griesbachian,0.3,"Silva-Tamayo et al., 2018",,0.3,,,96.5,
54.5,Turkey,Taskent,Taskent section,102.5,Early Triassic,Griesbachian,0.26,"Silva-Tamayo et al., 2018",,0.26,,,102.5,
58.7,Turkey,Taskent,Taskent section,106.7,Early Triassic,Griesbachian,0.45,"Silva-Tamayo et al., 2018",,0.45,,,106.7,
62,Turkey,Taskent,Taskent section,110,Early Triassic,Griesbachian,0.56,"Silva-Tamayo et al., 2018",,0.56,,,110,
95,Turkey,Taskent,Taskent section,143,Early Triassic,Griesbachian,0.49,"Silva-Tamayo et al., 2018",,0.49,,,143,
109,Turkey,Taskent,Taskent section,157,Early Triassic,Griesbachian,0.66,"Silva-Tamayo et al., 2018",,0.66,,,157,
136.5,Turkey,Taskent,Taskent section,184.5,Early Triassic,Griesbachian,0.47,"Silva-Tamayo et al., 2018",,0.47,,,184.5,
151,Turkey,Taskent,Taskent section,199,Early Triassic,Griesbachian,0.88,"Silva-Tamayo et al., 2018",,0.88,,,199,
176.2,Turkey,Taskent,Taskent section,224.2,Early Triassic,Griesbachian,0.51,"Silva-Tamayo et al., 2018",,0.51,,,224.2,
207,Turkey,Taskent,Taskent section,255,Early Triassic,Dienerian,0.73,"Silva-Tamayo et al., 2018",,0.73,,,255,
226,Turkey,Taskent,Taskent section,274,Early Triassic,Smithian,0.46,"Silva-Tamayo et al., 2018",,0.46,,,274,
234,Turkey,Taskent,Taskent section,282,Early Triassic,Smithian,0.22,"Silva-Tamayo et al., 2018",,0.22,,,282,
287,Turkey,Taskent,Taskent section,335,Early Triassic,Smithian,0.51,"Silva-Tamayo et al., 2018",,0.51,,,335,
4-c,Northern Italy,Tesero,Tesero Road section,1.5,Late Permian,Changsingian,0.15,"Silva-Tamayo et al., 2018",,0.15,,,,1.5
4-j,Northern Italy,Tesero,Tesero Road section,4.25,Late Permian,Changsingian,0.3,"Silva-Tamayo et al., 2018",,0.3,,,,4.3
4-m,Northern Italy,Tesero,Tesero Road section,5.45,Late Permian,Changsingian,0.32,"Silva-Tamayo et al., 2018",,0.32,,,,5.5
4-q,Northern Italy,Tesero,Tesero Road section,9.95,Late Permian,Changsingian,0.36,"Silva-Tamayo et al., 2018",,0.36,,,,10
4-t,Northern Italy,Tesero,Tesero Road section,11,Late Permian,Changsingian,0.35,"Silva-Tamayo et al., 2018",,0.35,,,,11
4-y,Northern Italy,Tesero,Tesero Road section,14.05,Late Permian,Changsingian,0.3,"Silva-Tamayo et al., 2018",,0.3,,,,14.1
4-aa,Northern Italy,Tesero,Tesero Road section,16.9,Late Permian,Changsingian,0.13,"Silva-Tamayo et al., 2018",,0.13,,,,16.9
